,Şehir,İlçe,Geçerli oy sayısı,Oy kullanan seçmen sayısı,Kayıtlı seçmen sayısı,Sandık sayısı ,AK PARTİ,MHP,CHP,İYİ PARTİ,HDP,SAADET PARTİSİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,VATAN PARTİSİ,HÜDA PAR,BĞMZ
9,Balıkesir,Bigadiç,33539.0,34464.0,37243.0,142.0,16966.0,2702.0,6954.0,4896.0,945.0,529.0,288.0,72.0,96.0,80.0,11.0
11,Balıkesir,Burhaniye,42327.0,43221.0,47436.0,148.0,12828.0,2586.0,17278.0,5421.0,3328.0,271.0,258.0,129.0,166.0,57.0,5.0
13,Balıkesir,Dursunbey,25552.0,26438.0,28959.0,160.0,17757.0,2385.0,1710.0,2381.0,104.0,622.0,411.0,29.0,97.0,51.0,5.0
15,Balıkesir,Edremit,106279.0,108141.0,121762.0,349.0,30807.0,6295.0,44019.0,13948.0,8549.0,1046.0,707.0,328.0,439.0,120.0,21.0
17,Balıkesir,Erdek,23646.0,24161.0,27071.0,88.0,6987.0,872.0,11865.0,2642.0,746.0,187.0,135.0,95.0,80.0,32.0,5.0
37,Balıkesir,Gömeç,10196.0,10467.0,11307.0,36.0,2893.0,478.0,4435.0,1380.0,821.0,84.0,37.0,30.0,28.0,7.0,3.0
19,Balıkesir,Gönen,52567.0,53830.0,59371.0,223.0,22609.0,3507.0,15257.0,8722.0,1112.0,507.0,380.0,134.0,186.0,142.0,11.0
21,Balıkesir,Havran,18401.0,19068.0,20700.0,72.0,10347.0,1358.0,3328.0,2657.0,123.0,212.0,137.0,32.0,144.0,58.0,5.0
41,Balıkesir,Karesi,120390.0,122768.0,134333.0,402.0,55062.0,11205.0,27401.0,20721.0,2286.0,1767.0,1130.0,363.0,253.0,162.0,40.0
25,Balıkesir,Kepsut,16306.0,16921.0,17272.0,91.0,9828.0,1235.0,1957.0,2241.0,326.0,420.0,147.0,33.0,70.0,45.0,4.0
